room_type,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,price_eur_night,early_adopter,log_price,maturity,price_tier
Entire home/apt,225,4.88,0,1,2,1,4,41.33101,19.824997,Myslym Shyri,0.8,1,1,84,2018,389.0,1,5.966146739123692,veteran,premium
Entire home/apt,51,4.92,1,2,2,1,3,41.327549,19.822502,Pazari i Ri,0.422,1,1,20,2024,577.0,0,6.359573868672378,established,luxury
Entire home/apt,92,4.8,1,1,1,1,3,41.32260081426691,19.81603679814757,Blloku,0.619,1,1,37,2022,412.0,0,6.023447592961033,established,premium
Entire home/apt,9,5.0,0,1,1,1,4,41.33156053574272,19.817036613821983,Blloku,0.487,1,1,4,2025,404.0,0,6.003887067106539,early,premium
Entire home/apt,225,4.92,1,2,3,2,5,41.33154,19.82158,Pazari i Ri,0.551,1,1,84,2018,359.0,1,5.886104031450156,veteran,premium
Entire home/apt,64,5.0,1,2,2,1,4,41.32059,19.81602,Blloku,0.823,1,1,26,2023,666.0,0,6.502790045915623,established,luxury
Entire home/apt,2,4.92,0,1,2,1,3,41.332198429529,19.82170432806015,Myslym Shyri,0.619,1,1,1,2025,206.0,0,5.332718793265369,early,mid
Entire home/apt,72,4.94,1,1,2,1,3,41.31712506532868,19.80178915396728,Kombinat,2.202,0,1,29,2023,349.0,0,5.857933154483459,established,premium
Entire home/apt,0,4.92,0,1,1,1,2,41.32402797313999,19.796711839735508,Kombinat,2.471,0,1,1,2025,198.0,0,5.293304824724492,new,mid
Entire home/apt,135,4.96,1,1,1,1,3,41.32256342279501,19.80999520321044,Blloku,1.111,1,1,54,2021,340.0,0,5.831882477283517,established,premium
Entire home/apt,26,4.92,1,1,3,1,4,41.31820191664849,19.80733728664704,Kombinat,1.63,0,1,10,2025,278.0,0,5.631211781821365,active,mid
