name,neighborhood,search_zone,lat,lng,est_start_year
Veranda Penthouse E.D Tirana,Kinostudio,Kinostudio,41.34095378836523,19.842106481553987,2020
GOA Apartment 2 by Kondo Stays,Center,Kinostudio,41.330777913897904,19.830357402980503,2025
"Cosy, small apartment in a family villa",Kinostudio,Kinostudio,41.33939186364149,19.836925042732705,2024
SuperHost | SkyView Oasis Premium Apartment,Kinostudio,Kinostudio,41.32691789592938,19.839284777771,2021
Azurè Apartments 3 Free Parking (Studio),Don Bosko,Kinostudio,41.3268255285531,19.84531916677952,2022
Peaceful Spot,Center,Kinostudio,41.32579324193809,19.835377894341946,2024
Keis Apartments,Kinostudio,Kinostudio,41.32790022418863,19.84404691799054,2025
Azurè Studio Apartment 4,Center,Kinostudio,41.33216550257831,19.83383763581514,2022
Vila Chaplin Superior,Center,Kinostudio,41.332248869980944,19.834959835968025,2025
Sophie’s Apartment,Center,Kinostudio,41.3277903272282,19.83397962525487,2025
Terra Cane Apartment,Bulevardi,Laprake,41.341189187368656,19.82680870444504,2025
Esi's apartments,Bulevardi,Laprake,41.340625499887096,19.82931207865477,2025
Sunny Apartment Tirana,Liqeni,Laprake,41.34854,19.8435,2025
Emerald Luxury 1BD Apartment,Bulevardi,Laprake,41.34216,19.82663,2025
Apartament super komod në Tiranë,Liqeni,Laprake,41.34574661830919,19.835409075021744,2025
Modern Apartment near Center – Cozy & Quiet Area,Laprake,Laprake,41.34493008560364,19.826723411679268,2025
Valentino Rest,Liqeni,Laprake,41.34203544517744,19.833383302805828,2025
Bree Home,Kinostudio,Laprake,41.3416883,19.8411131,2025
SUKAJ APARTMENT D27,Laprake,Laprake,41.34369,19.82851,2025
Luxury studio - near the City Center,Bulevardi,Laprake,41.340122545643496,19.828911423683167,2024
Lovely 2-bedroom condo with free parking,Liqeni,Laprake,41.34396,19.831335,2025
HAF luxury apartments,Bulevardi,Laprake,41.34161753647864,19.827860668301582,2025
Night Star,Kinostudio,Laprake,41.34060838265522,19.84217260032892,2025
Zen Stay apartments,Bulevardi,Laprake,41.34075,19.82881,2025
Sky Cane Apartment,Laprake,Laprake,41.34239,19.82649,2025
Modern Studio- New Building- Quiet Area- Fast Wifi,Laprake,Laprake,41.34288378755253,19.828882893917857,2025
LOVELY 1-BEDROOM APARTMENT IN TIRANA,Laprake,Laprake,41.342999,19.828182,2025
Tirana Ideal Apartment,Bulevardi,Laprake,41.34141,19.82862,2025
Holiday apartaments 1+1 nro 105,Liqeni,Laprake,41.34677,19.83897,2025
AIZ Apartment in Tirana- Self Check-in 24h,Liqeni,Laprake,41.341977,19.830868,2025
Nox Apartments Tirana 1,Bulevardi,Laprake,41.34066220635876,19.82863635396728,2025
Modern apartment with all comforts,Laprake,Laprake,41.34351346165352,19.826564423166005,2025
Casa mia Tirana,Bulevardi,Laprake,41.34108,19.83025,2025
The newspapers apartment,Laprake,Laprake,41.34403752885091,19.828321002423763,2025
Spacious and Cozy Apartment - Ajia Apartment,Bulevardi,Laprake,41.34056,19.82827,2021
Cosy Stay With Balcony in 5 Maji Street,Laprake,Laprake,41.350220859463846,19.825333092151563,2025
Sueño Apartment 02,Laprake,Laprake,41.34721399446358,19.832602676933988,2025
Cozy Apartment Tirana,Liqeni,Laprake,41.34339691895951,19.83519751578569,2025
Luxury One Bed Flat in Tirana!,Laprake,Laprake,41.34201,19.82769,2025
Mint Center Apartment,Bulevardi,Laprake,41.341153968293845,19.826913362980896,2025
EmeraldApartament,Liqeni,Laprake,41.34377292361792,19.835399743552127,2025
Urban Village,Laprake,Laprake,41.35655,19.83463,2024
Sueño Apartment 04,Laprake,Laprake,41.34800935538988,19.833234200233527,2025
